NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=64.682s, table=0, n_packets=4, n_bytes=3367, idle_age=11, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=67.734s, table=0, n_packets=31, n_bytes=3146, idle_age=8, in_port=2 actions=output:1
 cookie=0x0, duration=67.721s, table=0, n_packets=29, n_bytes=3286, idle_age=8, in_port=4 actions=output:3
 cookie=0x0, duration=67.708s, table=0, n_packets=30, n_bytes=3244, idle_age=8, in_port=6 actions=output:5
 cookie=0x0, duration=67.731s, table=0, n_packets=35, n_bytes=4002, idle_age=8, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=67.718s, table=0, n_packets=19, n_bytes=1946, idle_age=8, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=67.705s, table=0, n_packets=24, n_bytes=2764, idle_age=8, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=67.727s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.0.2 actions=output:2
 cookie=0x0, duration=67.724s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.0.2 actions=output:2
 cookie=0x0, duration=67.714s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.4.2 actions=output:4
 cookie=0x0, duration=67.711s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.4.2 actions=output:4
 cookie=0x0, duration=67.701s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.6.1 actions=output:6
 cookie=0x0, duration=67.698s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.6.1 actions=output:6
 cookie=0x0, duration=6.670s, table=0, n_packets=0, n_bytes=0, idle_age=6, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=65.610s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=65.606s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.4.0/24 actions=output:3
 cookie=0x0, duration=65.603s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.6.0/24 actions=output:5
 cookie=0x0, duration=23.599s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=23.595s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=18.601s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=18.595s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=13.542s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.5.0/24 actions=output:1
