NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=58.151s, table=0, n_packets=4, n_bytes=3368, idle_age=16, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=61.217s, table=0, n_packets=31, n_bytes=3074, idle_age=2, in_port=2 actions=output:1
 cookie=0x0, duration=61.204s, table=0, n_packets=27, n_bytes=3174, idle_age=2, in_port=4 actions=output:3
 cookie=0x0, duration=61.192s, table=0, n_packets=28, n_bytes=2864, idle_age=1, in_port=6 actions=output:5
 cookie=0x0, duration=61.214s, table=0, n_packets=40, n_bytes=4600, idle_age=2, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=61.202s, table=0, n_packets=18, n_bytes=1828, idle_age=2, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=61.189s, table=0, n_packets=20, n_bytes=2248, idle_age=1, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=61.210s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.0.2 actions=output:2
 cookie=0x0, duration=61.207s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.0.2 actions=output:2
 cookie=0x0, duration=61.198s, table=0, n_packets=2, n_bytes=84, idle_age=16, arp,arp_tpa=1.0.4.2 actions=output:4
 cookie=0x0, duration=61.195s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.4.2 actions=output:4
 cookie=0x0, duration=61.185s, table=0, n_packets=2, n_bytes=84, idle_age=16, arp,arp_tpa=1.0.6.1 actions=output:6
 cookie=0x0, duration=61.182s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.6.1 actions=output:6
 cookie=0x0, duration=7.284s, table=0, n_packets=0, n_bytes=0, idle_age=7, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=59.042s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=59.036s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.4.0/24 actions=output:3
 cookie=0x0, duration=59.031s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.6.0/24 actions=output:5
 cookie=0x0, duration=17.034s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=17.029s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=17.025s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=12.416s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=11.875s, table=100, n_packets=0, n_bytes=0, idle_age=12, ip,nw_dst=1.0.5.0/24 actions=output:1
