NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=61.960s, table=0, n_packets=4, n_bytes=3369, idle_age=12, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=64.782s, table=0, n_packets=28, n_bytes=2908, idle_age=1, in_port=2 actions=output:1
 cookie=0x0, duration=64.768s, table=0, n_packets=23, n_bytes=2846, idle_age=5, in_port=4 actions=output:3
 cookie=0x0, duration=64.755s, table=0, n_packets=22, n_bytes=1944, idle_age=5, in_port=6 actions=output:5
 cookie=0x0, duration=64.779s, table=0, n_packets=27, n_bytes=3218, idle_age=1, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=64.765s, table=0, n_packets=17, n_bytes=1854, idle_age=5, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=64.753s, table=0, n_packets=19, n_bytes=2438, idle_age=5, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=64.774s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.0.2 actions=output:2
 cookie=0x0, duration=64.771s, table=0, n_packets=0, n_bytes=0, idle_age=64, ip,nw_dst=1.0.0.2 actions=output:2
 cookie=0x0, duration=64.761s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.4.2 actions=output:4
 cookie=0x0, duration=64.759s, table=0, n_packets=0, n_bytes=0, idle_age=64, ip,nw_dst=1.0.4.2 actions=output:4
 cookie=0x0, duration=64.749s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.6.1 actions=output:6
 cookie=0x0, duration=64.747s, table=0, n_packets=0, n_bytes=0, idle_age=64, ip,nw_dst=1.0.6.1 actions=output:6
 cookie=0x0, duration=5.266s, table=0, n_packets=0, n_bytes=0, idle_age=5, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=62.838s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=62.833s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.4.0/24 actions=output:3
 cookie=0x0, duration=62.827s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.6.0/24 actions=output:5
 cookie=0x0, duration=15.737s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=15.732s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=10.426s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=10.420s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.5.0/24 actions=output:1
 cookie=0x0, duration=10.416s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.7.0/24 actions=output:5
