NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=73.739s, table=0, n_packets=4, n_bytes=4053, idle_age=21, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=76.543s, table=0, n_packets=32, n_bytes=3204, idle_age=7, in_port=2 actions=output:1
 cookie=0x0, duration=76.531s, table=0, n_packets=28, n_bytes=2900, idle_age=7, in_port=4 actions=output:3
 cookie=0x0, duration=76.518s, table=0, n_packets=37, n_bytes=3702, idle_age=7, in_port=6 actions=output:5
 cookie=0x0, duration=76.541s, table=0, n_packets=28, n_bytes=3088, idle_age=7, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=76.528s, table=0, n_packets=21, n_bytes=2110, idle_age=7, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=76.515s, table=0, n_packets=26, n_bytes=2744, idle_age=7, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=76.536s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.1.2 actions=output:2
 cookie=0x0, duration=76.534s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.1.2 actions=output:2
 cookie=0x0, duration=76.524s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.6.2 actions=output:4
 cookie=0x0, duration=76.521s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.6.2 actions=output:4
 cookie=0x0, duration=76.511s, table=0, n_packets=2, n_bytes=84, idle_age=31, arp,arp_tpa=1.0.7.1 actions=output:6
 cookie=0x0, duration=76.509s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.7.1 actions=output:6
 cookie=0x0, duration=4.312s, table=0, n_packets=0, n_bytes=0, idle_age=4, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=74.731s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=74.727s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.6.0/24 actions=output:3
 cookie=0x0, duration=74.723s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=27.564s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.5.0/24 actions=output:5
 cookie=0x0, duration=27.515s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=27.511s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=22.093s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=22.089s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.4.0/24 actions=output:3
