NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=64.682s, table=0, n_packets=4, n_bytes=4050, idle_age=11, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=67.645s, table=0, n_packets=26, n_bytes=2608, idle_age=8, in_port=2 actions=output:1
 cookie=0x0, duration=67.632s, table=0, n_packets=28, n_bytes=2956, idle_age=8, in_port=4 actions=output:3
 cookie=0x0, duration=67.620s, table=0, n_packets=22, n_bytes=2276, idle_age=8, in_port=6 actions=output:5
 cookie=0x0, duration=67.641s, table=0, n_packets=29, n_bytes=3362, idle_age=8, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=67.629s, table=0, n_packets=26, n_bytes=3052, idle_age=8, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=67.617s, table=0, n_packets=20, n_bytes=2252, idle_age=8, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=67.637s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.1.2 actions=output:2
 cookie=0x0, duration=67.635s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.1.2 actions=output:2
 cookie=0x0, duration=67.625s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.6.2 actions=output:4
 cookie=0x0, duration=67.623s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.6.2 actions=output:4
 cookie=0x0, duration=67.614s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.7.1 actions=output:6
 cookie=0x0, duration=67.611s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.7.1 actions=output:6
 cookie=0x0, duration=6.670s, table=0, n_packets=0, n_bytes=0, idle_age=6, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=65.549s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=65.545s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.6.0/24 actions=output:3
 cookie=0x0, duration=65.541s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=23.590s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=13.790s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=13.784s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.4.0/24 actions=output:3
 cookie=0x0, duration=13.543s, table=100, n_packets=0, n_bytes=0, idle_age=23, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=13.538s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.5.0/24 actions=output:5
