NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=58.150s, table=0, n_packets=4, n_bytes=4051, idle_age=16, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=61.117s, table=0, n_packets=27, n_bytes=2874, idle_age=2, in_port=2 actions=output:1
 cookie=0x0, duration=61.103s, table=0, n_packets=24, n_bytes=2440, idle_age=1, in_port=4 actions=output:3
 cookie=0x0, duration=61.091s, table=0, n_packets=22, n_bytes=1808, idle_age=1, in_port=6 actions=output:5
 cookie=0x0, duration=61.114s, table=0, n_packets=35, n_bytes=3958, idle_age=2, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=61.100s, table=0, n_packets=24, n_bytes=2672, idle_age=1, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=61.088s, table=0, n_packets=14, n_bytes=1592, idle_age=1, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=61.109s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.1.2 actions=output:2
 cookie=0x0, duration=61.106s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.1.2 actions=output:2
 cookie=0x0, duration=61.096s, table=0, n_packets=2, n_bytes=84, idle_age=16, arp,arp_tpa=1.0.6.2 actions=output:4
 cookie=0x0, duration=61.093s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.6.2 actions=output:4
 cookie=0x0, duration=61.084s, table=0, n_packets=2, n_bytes=84, idle_age=16, arp,arp_tpa=1.0.7.1 actions=output:6
 cookie=0x0, duration=61.081s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.7.1 actions=output:6
 cookie=0x0, duration=7.283s, table=0, n_packets=0, n_bytes=0, idle_age=7, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=59.045s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=59.040s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.6.0/24 actions=output:3
 cookie=0x0, duration=59.035s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=16.672s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=11.924s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=11.920s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.5.0/24 actions=output:5
 cookie=0x0, duration=11.729s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=11.724s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.4.0/24 actions=output:3
