NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=73.736s, table=0, n_packets=4, n_bytes=3711, idle_age=21, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=76.459s, table=0, n_packets=32, n_bytes=3212, idle_age=7, in_port=2 actions=output:1
 cookie=0x0, duration=76.446s, table=0, n_packets=31, n_bytes=3234, idle_age=7, in_port=4 actions=output:3
 cookie=0x0, duration=76.433s, table=0, n_packets=30, n_bytes=2936, idle_age=7, in_port=6 actions=output:5
 cookie=0x0, duration=76.456s, table=0, n_packets=28, n_bytes=2768, idle_age=7, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=76.443s, table=0, n_packets=22, n_bytes=2260, idle_age=7, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=76.430s, table=0, n_packets=32, n_bytes=3456, idle_age=7, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=76.452s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.2.2 actions=output:2
 cookie=0x0, duration=76.449s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.2.2 actions=output:2
 cookie=0x0, duration=76.439s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.5.2 actions=output:4
 cookie=0x0, duration=76.436s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.5.2 actions=output:4
 cookie=0x0, duration=76.427s, table=0, n_packets=2, n_bytes=84, idle_age=31, arp,arp_tpa=1.0.7.2 actions=output:6
 cookie=0x0, duration=76.424s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.7.2 actions=output:6
 cookie=0x0, duration=4.309s, table=0, n_packets=0, n_bytes=0, idle_age=4, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=74.734s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=74.729s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.5.0/24 actions=output:3
 cookie=0x0, duration=74.725s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=27.517s, table=100, n_packets=0, n_bytes=0, idle_age=32, ip,nw_dst=1.0.6.0/24 actions=output:5
 cookie=0x0, duration=22.240s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=22.234s, table=100, n_packets=0, n_bytes=0, idle_age=32, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=22.230s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=22.141s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.4.0/24 actions=output:5
