NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=64.681s, table=0, n_packets=4, n_bytes=3709, idle_age=11, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=67.559s, table=0, n_packets=27, n_bytes=2734, idle_age=8, in_port=2 actions=output:1
 cookie=0x0, duration=67.546s, table=0, n_packets=30, n_bytes=3136, idle_age=8, in_port=4 actions=output:3
 cookie=0x0, duration=67.533s, table=0, n_packets=24, n_bytes=2444, idle_age=8, in_port=6 actions=output:5
 cookie=0x0, duration=67.556s, table=0, n_packets=23, n_bytes=2826, idle_age=8, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=67.543s, table=0, n_packets=21, n_bytes=2234, idle_age=8, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=67.530s, table=0, n_packets=18, n_bytes=2084, idle_age=8, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=67.551s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.2.2 actions=output:2
 cookie=0x0, duration=67.549s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.2.2 actions=output:2
 cookie=0x0, duration=67.539s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.5.2 actions=output:4
 cookie=0x0, duration=67.536s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.5.2 actions=output:4
 cookie=0x0, duration=67.527s, table=0, n_packets=2, n_bytes=84, idle_age=23, arp,arp_tpa=1.0.7.2 actions=output:6
 cookie=0x0, duration=67.524s, table=0, n_packets=0, n_bytes=0, idle_age=67, ip,nw_dst=1.0.7.2 actions=output:6
 cookie=0x0, duration=6.670s, table=0, n_packets=0, n_bytes=0, idle_age=6, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=65.765s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=65.761s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.5.0/24 actions=output:3
 cookie=0x0, duration=65.758s, table=100, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=18.602s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=18.597s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=18.593s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=18.585s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.6.0/24 actions=output:5
 cookie=0x0, duration=13.790s, table=100, n_packets=0, n_bytes=0, idle_age=18, ip,nw_dst=1.0.4.0/24 actions=output:5
