NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=77.702s, table=0, n_packets=1, n_bytes=1208, idle_age=22, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=81.247s, table=0, n_packets=23, n_bytes=2186, idle_age=1, in_port=2 actions=output:1
 cookie=0x0, duration=81.244s, table=0, n_packets=26, n_bytes=3100, idle_age=1, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=81.240s, table=0, n_packets=2, n_bytes=84, idle_age=36, arp,arp_tpa=1.0.4.1 actions=output:2
 cookie=0x0, duration=81.237s, table=0, n_packets=0, n_bytes=0, idle_age=81, ip,nw_dst=1.0.4.1 actions=output:2
 cookie=0x0, duration=8.327s, table=0, n_packets=0, n_bytes=0, idle_age=8, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=78.844s, table=100, n_packets=0, n_bytes=0, idle_age=78, ip,nw_dst=1.0.4.0/24 actions=output:1
 cookie=0x0, duration=31.845s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=31.840s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.1.0/24 actions=output:1
 cookie=0x0, duration=31.836s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.2.0/24 actions=output:1
 cookie=0x0, duration=31.833s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.3.0/24 actions=output:1
 cookie=0x0, duration=31.830s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.5.0/24 actions=output:1
 cookie=0x0, duration=31.827s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.6.0/24 actions=output:1
 cookie=0x0, duration=31.824s, table=100, n_packets=0, n_bytes=0, idle_age=31, ip,nw_dst=1.0.7.0/24 actions=output:1
