NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=73.739s, table=0, n_packets=4, n_bytes=4490, idle_age=21, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=76.891s, table=0, n_packets=32, n_bytes=3292, idle_age=7, in_port=2 actions=output:1
 cookie=0x0, duration=76.878s, table=0, n_packets=32, n_bytes=3280, idle_age=7, in_port=4 actions=output:3
 cookie=0x0, duration=76.867s, table=0, n_packets=32, n_bytes=2960, idle_age=7, in_port=6 actions=output:5
 cookie=0x0, duration=76.855s, table=0, n_packets=30, n_bytes=3248, idle_age=7, in_port=8 actions=output:7
 cookie=0x0, duration=76.888s, table=0, n_packets=23, n_bytes=2434, idle_age=7, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=76.875s, table=0, n_packets=27, n_bytes=2958, idle_age=7, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=76.864s, table=0, n_packets=28, n_bytes=3020, idle_age=7, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=76.852s, table=0, n_packets=22, n_bytes=2436, idle_age=7, ip,in_port=7,nw_proto=89 actions=output:8
 cookie=0x0, duration=76.884s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.0.1 actions=output:2
 cookie=0x0, duration=76.881s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.0.1 actions=output:2
 cookie=0x0, duration=76.872s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.1.1 actions=output:4
 cookie=0x0, duration=76.869s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.1.1 actions=output:4
 cookie=0x0, duration=76.861s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.2.1 actions=output:6
 cookie=0x0, duration=76.858s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.2.1 actions=output:6
 cookie=0x0, duration=76.849s, table=0, n_packets=2, n_bytes=84, idle_age=32, arp,arp_tpa=1.0.3.1 actions=output:8
 cookie=0x0, duration=76.846s, table=0, n_packets=0, n_bytes=0, idle_age=76, ip,nw_dst=1.0.3.1 actions=output:8
 cookie=0x0, duration=4.314s, table=0, n_packets=0, n_bytes=0, idle_age=4, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=74.578s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=74.573s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.1.0/24 actions=output:3
 cookie=0x0, duration=74.569s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.2.0/24 actions=output:5
 cookie=0x0, duration=74.564s, table=100, n_packets=0, n_bytes=0, idle_age=74, ip,nw_dst=1.0.3.0/24 actions=output:7
 cookie=0x0, duration=27.750s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.4.0/24 actions=output:1
 cookie=0x0, duration=22.244s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.5.0/24 actions=output:7
 cookie=0x0, duration=22.238s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=22.146s, table=100, n_packets=0, n_bytes=0, idle_age=27, ip,nw_dst=1.0.6.0/24 actions=output:1
