NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=58.162s, table=0, n_packets=4, n_bytes=4486, idle_age=16, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=61.566s, table=0, n_packets=45, n_bytes=4846, idle_age=2, in_port=2 actions=output:1
 cookie=0x0, duration=61.553s, table=0, n_packets=40, n_bytes=4204, idle_age=2, in_port=4 actions=output:3
 cookie=0x0, duration=61.541s, table=0, n_packets=36, n_bytes=3892, idle_age=2, in_port=6 actions=output:5
 cookie=0x0, duration=61.529s, table=0, n_packets=29, n_bytes=3102, idle_age=2, in_port=8 actions=output:7
 cookie=0x0, duration=61.563s, table=0, n_packets=27, n_bytes=2882, idle_age=2, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=61.551s, table=0, n_packets=23, n_bytes=2682, idle_age=2, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=61.538s, table=0, n_packets=24, n_bytes=2756, idle_age=2, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=61.526s, table=0, n_packets=19, n_bytes=2162, idle_age=2, ip,in_port=7,nw_proto=89 actions=output:8
 cookie=0x0, duration=61.559s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.0.1 actions=output:2
 cookie=0x0, duration=61.556s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.0.1 actions=output:2
 cookie=0x0, duration=61.547s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.1.1 actions=output:4
 cookie=0x0, duration=61.544s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.1.1 actions=output:4
 cookie=0x0, duration=61.535s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.2.1 actions=output:6
 cookie=0x0, duration=61.532s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.2.1 actions=output:6
 cookie=0x0, duration=61.523s, table=0, n_packets=2, n_bytes=84, idle_age=17, arp,arp_tpa=1.0.3.1 actions=output:8
 cookie=0x0, duration=61.520s, table=0, n_packets=0, n_bytes=0, idle_age=61, ip,nw_dst=1.0.3.1 actions=output:8
 cookie=0x0, duration=7.299s, table=0, n_packets=0, n_bytes=0, idle_age=7, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=59.598s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=59.594s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.1.0/24 actions=output:3
 cookie=0x0, duration=59.590s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.2.0/24 actions=output:5
 cookie=0x0, duration=59.586s, table=100, n_packets=0, n_bytes=0, idle_age=59, ip,nw_dst=1.0.3.0/24 actions=output:7
 cookie=0x0, duration=17.050s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.4.0/24 actions=output:1
 cookie=0x0, duration=16.891s, table=100, n_packets=0, n_bytes=0, idle_age=16, ip,nw_dst=1.0.5.0/24 actions=output:7
 cookie=0x0, duration=11.889s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.7.0/24 actions=output:5
 cookie=0x0, duration=11.744s, table=100, n_packets=0, n_bytes=0, idle_age=17, ip,nw_dst=1.0.6.0/24 actions=output:1
