NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=61.974s, table=0, n_packets=4, n_bytes=4488, idle_age=12, priority=44444,ip,nw_proto=143 actions=CONTROLLER:65535
 cookie=0x0, duration=65.150s, table=0, n_packets=31, n_bytes=3410, idle_age=1, in_port=2 actions=output:1
 cookie=0x0, duration=65.136s, table=0, n_packets=28, n_bytes=2452, idle_age=0, in_port=4 actions=output:3
 cookie=0x0, duration=65.124s, table=0, n_packets=35, n_bytes=3678, idle_age=5, in_port=6 actions=output:5
 cookie=0x0, duration=65.111s, table=0, n_packets=26, n_bytes=2460, idle_age=5, in_port=8 actions=output:7
 cookie=0x0, duration=65.147s, table=0, n_packets=24, n_bytes=2716, idle_age=1, ip,in_port=1,nw_proto=89 actions=output:2
 cookie=0x0, duration=65.133s, table=0, n_packets=20, n_bytes=2248, idle_age=5, ip,in_port=3,nw_proto=89 actions=output:4
 cookie=0x0, duration=65.121s, table=0, n_packets=27, n_bytes=3034, idle_age=5, ip,in_port=5,nw_proto=89 actions=output:6
 cookie=0x0, duration=65.108s, table=0, n_packets=18, n_bytes=1764, idle_age=5, ip,in_port=7,nw_proto=89 actions=output:8
 cookie=0x0, duration=65.143s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.0.1 actions=output:2
 cookie=0x0, duration=65.140s, table=0, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.0.1 actions=output:2
 cookie=0x0, duration=65.130s, table=0, n_packets=3, n_bytes=126, idle_age=0, arp,arp_tpa=1.0.1.1 actions=output:4
 cookie=0x0, duration=65.127s, table=0, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.1.1 actions=output:4
 cookie=0x0, duration=65.116s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.2.1 actions=output:6
 cookie=0x0, duration=65.113s, table=0, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.2.1 actions=output:6
 cookie=0x0, duration=65.104s, table=0, n_packets=2, n_bytes=84, idle_age=20, arp,arp_tpa=1.0.3.1 actions=output:8
 cookie=0x0, duration=65.101s, table=0, n_packets=0, n_bytes=0, idle_age=65, ip,nw_dst=1.0.3.1 actions=output:8
 cookie=0x0, duration=5.280s, table=0, n_packets=0, n_bytes=0, idle_age=5, priority=1 actions=resubmit(,100)
 cookie=0x0, duration=62.855s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.0.0/24 actions=output:1
 cookie=0x0, duration=62.850s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.1.0/24 actions=output:3
 cookie=0x0, duration=62.845s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.2.0/24 actions=output:5
 cookie=0x0, duration=62.840s, table=100, n_packets=0, n_bytes=0, idle_age=62, ip,nw_dst=1.0.3.0/24 actions=output:7
 cookie=0x0, duration=15.756s, table=100, n_packets=0, n_bytes=0, idle_age=15, ip,nw_dst=1.0.4.0/24 actions=output:1
 cookie=0x0, duration=15.751s, table=100, n_packets=0, n_bytes=0, idle_age=20, ip,nw_dst=1.0.5.0/24 actions=output:7
 cookie=0x0, duration=15.745s, table=100, n_packets=0, n_bytes=0, idle_age=20, ip,nw_dst=1.0.6.0/24 actions=output:1
 cookie=0x0, duration=15.740s, table=100, n_packets=0, n_bytes=0, idle_age=20, ip,nw_dst=1.0.7.0/24 actions=output:5
